"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"B-EU_B0805";"L0805";"B1, B2, B3, B4";"EMI Filter";"";
"2";"";"MA03-1";"MA03-1";"AUDIO, DEBUG";"PIN HEADER";"";
"1";"";"MA03-2";"MA03-2";"SV6";"PIN HEADER";"";
"1";"";"MA04-1";"MA04-1";"SV5";"PIN HEADER";"";
"1";"";"MA04-2";"MA04-2";"SV2";"PIN HEADER";"";
"1";"";"MA05-1";"MA05-1";"SV1";"PIN HEADER";"";
"1";"";"MA06-1";"MA06-1";"SV3";"PIN HEADER";"";
"1";"";"MA08-1";"MA08-1";"SV7";"PIN HEADER";"";
"2";"";"USB-A3-0";"USB3_TYPE_A";"J1, J2";"WR-COM  USB 3.0 HORIZONTAL TYPE A=>Code : Con_I-O_COM_USB-3.0_A_629121030100";"";
"2";"";"W237-102";"W237-102";"BUZZER1, BUZZER2";"WAGO SCREW CLAMP";"";
"2";"100k";"R-EU_R1206";"R1206";"R1, R3";"RESISTOR, European symbol";"";
"27";"100n";"C-EUC1206";"C1206";"C2, C3, C5, C6, C8, C9, C11, C12, C13, C14, C17, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C36, C37, C38, C39, C41";"CAPACITOR, European symbol";"";
"10";"10k";"R-EU_R1206";"R1206";"R13, R14, R15, R16, R17, R18, R19, R20, R22, R23";"RESISTOR, European symbol";"";
"5";"10u";"C-EUC1206";"C1206";"C1, C4, C7, C10, C40";"CAPACITOR, European symbol";"";
"2";"15p";"C-EUC1206";"C1206";"C18, C19";"CAPACITOR, European symbol";"";
"2";"1k5";"R-EU_R1206";"R1206";"R7, R8";"RESISTOR, European symbol";"";
"6";"1u";"C-EUC1206";"C1206";"C16, C31, C32, C33, C34, C35";"CAPACITOR, European symbol";"";
"7";"22k";"R-EU_R1206";"R1206";"R4, R6, R33, R35, R37, R38, R39";"RESISTOR, European symbol";"";
"2";"330";"R-EU_R1206";"R1206";"R9, R10";"RESISTOR, European symbol";"";
"3";"330R";"R-EU_R1206";"R1206";"R2, R21, R24";"RESISTOR, European symbol";"";
"4";"3k3";"R-EU_R1206";"R1206";"R25, R26, R29, R30";"RESISTOR, European symbol";"";
"7";"47k";"R-EU_R1206";"R1206";"R5, R34, R36, R40, R41, R42, R43";"RESISTOR, European symbol";"";
"4";"4k7";"R-EU_R1206";"R1206";"R27, R28, R31, R32";"RESISTOR, European symbol";"";
"1";"4u7";"C-EUC1206";"C1206";"C15";"CAPACITOR, European symbol";"";
"1";"8MHz";"FOXSDLF_080-20";"FOXSDLF/080-20";"Q1";"Crystal SMD 8.000MHz HC49S-SMD Crystal 8MHz, 30ppm, 2-Pin SMD, 11.7 x 5 x 4.5mm";"";
"1";"ANALOG_DEVICES_ADG819BRTZ-500RL7ANALOG_DEVICES_ADG819BRTZ-500RL7_0_1";"ANALOG_DEVICES_ADG819BRTZ-500RL7ANALOG_DEVICES_ADG819BRTZ-500RL7_0_1";"ANALOG_DEVICES_ADG819BRTZ-500RL7_1";"U1";"ADI-ADG819-RJ-6";"";
"1";"BLUETOOTH-RN-52";"BLUETOOTH-RN-52";"RN-52";"U$1";"Roving Networks RN-52 Bluetooth Audio Module";"";
"4";"FDN337N";"FDN337N";"SOT23";"V1, V2, V3, V4";"N-CHANNEL MOS FET";"";
"1";"FactoryReset";"TASTER_SMD";"TASTER_SMD_LSG-LSH1301XX";"BT_RESET";"6.0 X 6.0mm TACT Switch (SMD) - Schurter Typ LSG/LSH 1301.xx";"";
"1";"GREEN";"LEDCHIPLED_1206";"CHIPLED_1206";"LED2";"LED";"";
"1";"I2C-LEVELCONVERTER-PCB";"I2C-LEVELCONVERTER-PCB";"I2C-LEVELCONVERTER-PCB";"U$3";"";"";
"1";"MCP1725-3302E/SN";"MCP1725-3302E/SN";"SOIC127P600X175-8N";"IC2";"Low Quiescent Current LDO Regulator";"";
"2";"MICRO-USB";"MICRO-USB";"ZX62B5PA";"USB1, USB2";"";"";
"3";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"H1, H2, H3";"MOUNTING HOLE with drill center marker";"";
"2";"PC817";"PC817";"DIL04";"OK1, OK2";"SHARP OPTO COUPLER";"";
"1";"PESD5V0S1UB";"DIODE-SOD523";"SOD523";"D1";"DIODE";"";
"1";"RC-STEP-DOWN";"RC-STEP-DOWN";"RC-STEP-DOWN";"U$4";"";"";
"2";"RED";"LEDCHIPLED_1206";"CHIPLED_1206";"LED1, LED3";"LED";"";
"1";"Reset";"TASTER_SMD";"TASTER_SMD_LSG-LSH1301XX";"RESET";"6.0 X 6.0mm TACT Switch (SMD) - Schurter Typ LSG/LSH 1301.xx";"";
"1";"SPARKFUN-RN52";"SPARKFUN-RN52";"SPARKFUN-RN52";"U$2";"";"";
"1";"STM32F401RET6";"STM32F401RET6";"QFP50P1200X1200X160-64N";"IC1";"ARM Cortex-M4 32b MCU+FPU";"";
"1";"TEXAS_INSTRUMENTS_TPA6112A2DGQRTEXAS_INSTRUMENTS_TPA6112A2DGQR_0_1";"TEXAS_INSTRUMENTS_TPA6112A2DGQRTEXAS_INSTRUMENTS_TPA6112A2DGQR_0_1";"TEXAS_INSTRUMENTS_TPA6112A2DGQR_1";"U2";"TI-TPA6112A2DGQ10-1675X1445TP";"";
"6";"WIREPAD2,15/1,0";"WIREPAD2,15/1,0";"2,15/1,0";"BTN_NXT/1, BTN_RES/1, BTN_SCT/1, NXT, RES, SCT";"Wire PAD connect wire on PCB";"";
